Klinik_Name,Commentator,Review,Date,Like,Star
DIAKOVERE Annastift,sarah wagner,Meine Tochter machte dort eine helmtherapie welche großen Erfolg hatte.****Wir wurden dort sehr gut behandelt und alle waren immer nett und freundlich.****Ich bin sehr zufrieden und habe nur gute Erfahrungen gemacht.****Vielen Dank für alles,vor 6 Tagen,3,5
DIAKOVERE Annastift,Janine,"Ich liege gerade auf der intensiv im annastift und ich kann wirklich sagen super, super herzliche freundliche und sehr kompetentes Personal",vor einem Jahr,1,4
DIAKOVERE Annastift,TiNa Si.,"Ich wurde im November 2020 im Annastift in Hannover an der Hüfte operiert. Ich war von der Betreuung ab dem ersten Tag rundum zufrieden. Der Aufnahmetag war etwas langwiedrig und das Essen morgens und abends könnte etwas abwechslungsreicher sein. Ich war insgesamt 8 Tage im Annastift und möchte mich auch auf diesem Wege für das tolle Engagement des gesamten Teams, vom OP Team bis zum Pflegepersonal bedanken. Alles lief Hand in Hand und man hatte zu keinem Zeitpunkt das Gefühl, in falschen Händen zu sein. Ich würde mich hier wieder operieren lassen.",vor einem Monat,1,4
DIAKOVERE Annastift,Sophie Mayer,Meine Tochter ist Neugeborene und hat Hüftedysplasie. Wir waren bei Anna Stift und eine Frau mit ihrem Kind wurde vor uns von der Ärztin gerufen obwohl sie den Termin nach unserem hatte. Wir haben eine Stunde da gewartet Mehr als eigentlich man warten sollte. So nett ist die Ärztin zu Neugeborene 👿,vor 4 Monaten,2,3
DIAKOVERE Annastift,Andre Zaube,Eingangsbereich Diakovere Annastift,vor einem Jahr,1,5
DIAKOVERE Annastift,Alexatamatavuahsch Buschi,"Ich selbst wurde am 2.6.2020 Das erste mal am Fuß operiert im annastift und an 23.10.2020 auf der andere Fuß Seite, ich bin sehr zufrieden. Die Fuß Spezialisten sind auch mega höflich! Und man fühlt sich gut umsorgt :)**Nur weiter so! 🙂",vor 4 Monaten,1,5
DIAKOVERE Annastift,Matthias Schupp,Ich wurde am 16.11.2020 an der Schulter im Annastift operiert . Ich bin sehr zufrieden und möchte mich nocheimal bei dem gesamten Personal von Station 4 bedanken .Weiter so. 👍,vor 3 Monaten,1,5
DIAKOVERE Annastift,Dirk Kalusniak,"Ich fühlte mich jederzeit bestens aufgehoben und versorgt.  Jederzeit war jemand da, um jegliche Art von Fragen zu beantworten.  Ich kann dieses Krankenhaus nur weiterempfehlen.",vor 6 Monaten,1,5
DIAKOVERE Annastift,Pitti Stöckchen,"Meine Mutter wurde innerhalb  1 Woche 3x operiert! Lag auf der Intensivstation, kommt morgen in die Reha. Es hat in den ganzen 3 Wochen(!!!) kein Arzt, keine Schwester bei mir angerufen. Ich wusste nie wie es meiner Mutter geht, wegen Corona bedingten Besuchsverbot. Heute erfahre ich von meiner Mutter telefonisch, das sie morgen in die Reha kommt. Wieder hielt es keiner, weder Arzt noch Schwestern, für nötig uns zu informieren! Meine Mutter fährt ohne Wäsche, Kleidung ect. zur Reha. Ich kann gar nicht in Worte fassen, wie ich das finde!!!",vor 2 Monaten,1,1
DIAKOVERE Annastift,Nicole Knopf,Super liebe Schwestern und tolle Betreuung.  Ich würde es definitiv weiter empfehlen.,vor 4 Monaten,2,5
DIAKOVERE Annastift,Dine Trine,Schwestern sehr Höflich. Parksituation  der absolute Horror.Die meisten stehen eh im parkverbot weil man einfach nichts anderes findet.Arztgespräch innerhalb von 5 Minuten beendet.und zack der nächste bitte. (Wirbelsäule) Schade drum,vor 6 Monaten,1,2
DIAKOVERE Annastift,stephanie,"Ich komme aus Sachsen und bin wirklich so froh nach Hannover ins Annstift gekommen zu sein.**Ich wurde im juli.2020 an der Wirbelsäule operiert, hatte mega Angst aber dank den liebevollen Ärzten und Krankenschwester war meine Angst sehr schnell weg.**Die Schwestern und Pfleger im vorbereitungs Raum der op waren so lieb haben einem zum lachen gebracht, einen abgelenkt und einer hat bist ich eingeschlafen meine Hand gehalten👍👍**Ich bin so unendlich Glück, endlich haben mir Ärzte geholfen.**Nächstes Jahr muss ich wieder zur Kontrolle u.d freu mich schon sehr😊.****Kann das Annastift nur empfehlen.****Ein Riesen danke geht an Frau Dr. Denzner sie ist eine super liebe Ärztin und erklärt einem alles genau, vielen dank für ihre liebe Art.**Natürlich auch ein riesen Tag der station 3 alle schwestern und Pfleger mega lieb und immer gut gelaunt. Die station war neu und mega schön gemacht.****Sogar das Essen war mega lecker👍.**Vielen lieben dank an das gesamte Klinik Personal👍👍.****Freundlich grüße**Stephanie😊",vor 3 Monaten,1,5
DIAKOVERE Annastift,Mirko Grützmacher,Super Fachliche Betreuung. Personal und Ärzte immer freundlich. Bin sehr zufrieden mit meiner Sprunggelenk OP. Vielen Dank für alles!!!,vor 6 Monaten,2,5
DIAKOVERE Annastift,Bernhard Hantschel,"Meine Behandlung hier war einem Annastift nicht würdig und völlig unnötig , die offene Biopsie, vom 04.11.2020 hat Ihren Namen zu Recht, am ,09.03.21 (nach der Bestrahlung) Ist sie immer noch ofen.**Trotz täglicher Pflege, ausspülen, Verband wechseln.**Am 24.12 habe ich die Nachricht vom Ergebnis der Tumorkonferenz bekommen, man weiß nach 2 Monaten noch immer nicht was für ein Tumor es ist, wozu dann eine so Riskante Biopsie, nur damit ich mich jetzt mit einer Wundheilungsstörung abquälen darf? Wer Interessiert ist, ich kenne jetzt den Unterschied zwischen Faden, Klammer und Kunststoff, alle drei werden bei der Narbenverheilung verwendet, Letzteres mit Kraft zusammen gezogen, beim entfernen, entspannt die Haut entsprechend, man sollte ein gutes Schmerzmittel zur Hand haben**Meine Benotung, Personal Schwestern und Pflegern erhalten 5 Sterne, ich habe mich trotz der Umstände sehr wohl gefühlt, Danke**Essen, ob Frühstück, Mittagessen oder Abendbrot, man sollte beim großen Bruder der MHH mal in die Töpfe schauen. Das Essen und der Kaffee bekommen 2 Punkte, für selbst gemacht, nicht Gut.**Das Krankenhaus, sehr ansprechend, insbesondere die neuen Stationen**5 Sterne**Der Aufnahme-Bereich 2 Sterne, für einen gesunden viel Wartezeit, für einen kranken unerträglich.**Hier muss sich viel ändern um den eigenen Standard zu genügen.**Die Ärzte Ansatzweise sehr gut, aber das Ergebnis ( in meinem Fall eher Chaotisch)**2 Sterne weil ich als Patient die Fehler die gemacht werden ertragen muss und die Psyche des Patienten völlig missachtet wird.**Ich habe zurecht viel von den Ärzten im Anastift erwartet und bin entäuscht worden.**Verkehrsanbindung sehr gut.**Behindertengerechte Auffahrt.**5 Sterne**Eines habe ich noch als ich auf Station lag, kam ein ganzer Tross Oberärzte ins Zimmer, seit dem sehe ich die Herren vor meinem Auge zu Jerusalem tanzen, sieht nicht nur gut aus, macht auch locker, meine Herren",vor einer Woche,1,2
DIAKOVERE Annastift,sue,Die OP bei meiner Tochter ist super verlaufen. Nette Ärzte und Krankenschwestern/Pfleger.,vor 4 Monaten,1,5
