Klinik_Name,Commentator,Review,Date,Like,Star
DIAKOVERE Friederikenstift,Nds Engel,Trotz Stress wg. Corona und offensichtlichem Arbeiten am Limit gibt das Personal sein Bestes. Natürlich ist das KH recht alt und es ist alles nicht so nice und modern aber ich habe hier schließlich auch keinen Wellness-Urlaub gebucht sondern landete mit schwerem BSV und Schmerzen wie Sau in der Notaufnahme. Ich bin sehr dankbar für die überaus großzügige Medikation an Schmerzmitteln und dem schnellen Handeln hinsichtlich Op. Das Essen ist wirklich nicht so toll aber das überlebt man problemlos. Nochmals Danke....,vor 5 Tagen,1,5
DIAKOVERE Friederikenstift,David Zivku,"Sehr freundliches und kompetentes Servicepersonal. Ärzte die sowohl Beschwerden, als auch Ängste ernst nehmen und vertrauensvoll beraten. Habe mich sehr gut aufgehoben gefühlt. Lieben Dank. 👍🏼🍀🌞",vor einem Jahr,3,5
DIAKOVERE Friederikenstift,Clannad -,"Das schrecklichste Krankenhaus in dem ich je behandelt wurde. Trotz das ich aufgrund meiner Behinderung von der Maske befreit bin wurde ich während einer Untersuchung dazu gezwungen eine Maske zu tragen, die Ärztin drückte mir die Maske sogar noch richtig aufs Gesicht. Es dauerte keine 2 Minuten bis ich kolabiert bin und anstatt einer Entschuldigung bekam ich noch dumme Sprüche von den Krankenschwestern zu hören. Nie wieder...",vor 2 Monaten,1,1
DIAKOVERE Friederikenstift,Christian Hoog,"Super Krankenhaus, tolle Chirurgen, liebe Schwester und Pfleger auf der Station 2 Süd. Ich habe mich gut aufgehoben gefühlt. Und nach verpfuschter Vorsorge eines andern Krankenhaus wurde mein Daumen hier vom Ärzte Team gerettet 👍",vor 2 Monaten,3,5
DIAKOVERE Friederikenstift,Chris Deit,"Ich war auf Grund eines Bandscheibenvorfalls zu Erst in der Notaufnahme und später für vier Tage auf der Station 4 Süd.****Ich bin sowohl von den Pflegern, Schwestern und den Ärzten begeistert.**Man nimmt sich Zeit, erklärt und erläutert Dinge und Fragen. Alle sind trotz Stress immer nett und zuvorkommend.****Der Service rund um das Ganze (Essen ordern, Radiologie etc.) ist Klasse.**Hab mich trotz oder gerade wegen starker Schmerzen sehr gut aufgehoben gefühlt.**Es wurde sich Zeit genommen und auf Probleme auf Grund der Erkrankung eingegangen.****Dank der Corona-Lockerungen war es möglich Besuch zu empfangen.****Da ich mich gegen eine OP entschieden habe, wurde ich zum Wochenende entlassen. Der Orthopädie ist jetzt am Zug.****Einziges Manko war, dass die Madratze für mich nicht gut war. Sie war zwar fest, jedoch zu dünn. Ich konnte die Gelenke bzw. Kanten des Hebe-/Pflegebettes spüren. Sie drückten immer auf meinen Vorfall im Lendenwirbel. Hat die Schmerzen dadurch nicht reduziert, sondern immer wieder gereizt.**Ich war aber froh überhaupt liegen zu können, bei meinen Schmerzen.****Ich würde trotzdem bei Bedarf immer wieder kommen. Nur auf das Bett besser achten!",vor 9 Monaten,3,5
DIAKOVERE Friederikenstift,thuy vy Vu,"Mein Baby wurde hier geboren. Die Hebamme und die Krankenschwester sind sehr nett und freundlich. Die Mahlzeit von Krankenhaus hat mir gut geschmeckt. Die Hygiene von Krankenhaus ist super. Meine Geburt wurde von eine Hebamme, sie immer Nachtdienst hat, geholfen. Sie ist sehr freundlich und sie hat viele Erfahrungen. ❤️👶🍼😽",vor 5 Monaten,2,5
DIAKOVERE Friederikenstift,S. K.,"Die Geburt unseres zweiten Kindes verlief mit Komplikationen, so dass meine Frau auf die Intensivstation in das Friederikenstift verlegt werden musste. Ich kam quasi mit dem Baby unter dem Arm hinterher. Ich bin immer noch begeistert davon, wie gut wir hier alle betreut wurden. Es wurde sofort ein Familienzimmer bereitgestellt, ein gut eingespieltes Team aus Hebammen, Krankenschwestern und Ärzten hat sich hervorragend um uns gekümmert und uns durch diese turbulenten Tage geholfen. Wir möchten dafür auch nach 3 Jahren noch einmal herzlich ""Danke"" sagen!",vor 4 Monaten,1,5
DIAKOVERE Friederikenstift,Darren robinson,"Also ich war mit Krankenwagen angekommen , und von Anfang bis zu Ende war ich komplett nett freundliche behandelt . War 7 Tage stationiert und alle Mitarbeiter Station 2 Mitte war komplett super , mehr konnte ich nicht erwarten .****Vielen vielen Dank",vor 5 Monaten,5,5
DIAKOVERE Friederikenstift,Gurkan Celik,Sehr unfreundliches Personal. Habe 4 Tage hier im Krankenhaus übernachtet hatte Nachts Schmerzen das ich kein Luft mehr bekamm als ich den Notfall Knopf drückte meinte die Krankenschwester zu mir das das kein Notfall sei ich nicht mehr den Knopf drücken soll  bilden sie ihre Mitarbeiter besser aus und Freundlichkeit wäre ein Vorteil! Keiner ist hier im Krankenhaus aus Spaß hier!,vor 4 Monaten,1,1
DIAKOVERE Friederikenstift,Anja Schmidt,Hatte dort meine bauchdeckenstraffung bin voll zufrieden sehr nette Pfleger und Pflegerinnen und hab da tolle Menschen kennengelernt.,vor einem Monat,1,5
